instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,hour,day,month,year,day_of_week,day_of_year,is_weekend,is_workingday,rush_hour,lag_1,lag_2,lag_24,lag_168,rolling_mean_24,rolling_mean_168
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,2011-01-09 00:00:00,0,9,1,2011,6,9,1,0,0,22.0,34.0,25.0,67.0,39.958333333333336,57.517857142857146
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,2011-01-09 01:00:00,1,9,1,2011,6,9,1,0,0,25.0,22.0,16.0,35.0,39.958333333333336,57.267857142857146
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,2011-01-09 02:00:00,2,9,1,2011,6,9,1,0,0,12.0,25.0,16.0,37.0,39.79166666666666,57.13095238095238
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,2011-01-09 03:00:00,3,9,1,2011,6,9,1,0,0,11.0,12.0,7.0,36.0,39.583333333333336,56.97619047619048
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,2011-01-09 04:00:00,4,9,1,2011,6,9,1,0,0,4.0,11.0,1.0,34.0,39.458333333333336,56.785714285714285
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,2011-01-09 05:00:00,5,9,1,2011,6,9,1,0,0,1.0,4.0,5.0,28.0,39.458333333333336,56.58928571428572
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,2011-01-09 06:00:00,6,9,1,2011,6,9,1,0,0,1.0,1.0,2.0,39.0,39.29166666666666,56.42857142857143
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,2011-01-09 07:00:00,7,9,1,2011,6,9,1,0,1,1.0,1.0,9.0,17.0,39.25,56.20238095238095
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,2011-01-09 08:00:00,8,9,1,2011,6,9,1,0,1,6.0,1.0,15.0,17.0,39.125,56.13690476190476
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,2011-01-09 09:00:00,9,9,1,2011,6,9,1,0,1,10.0,6.0,20.0,9.0,38.91666666666666,56.095238095238095
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,2011-01-09 10:00:00,10,9,1,2011,6,9,1,0,0,19.0,10.0,61.0,6.0,38.875,56.15476190476191
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,2011-01-09 11:00:00,11,9,1,2011,6,9,1,0,0,49.0,19.0,62.0,3.0,38.375,56.410714285714285
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,2011-01-09 12:00:00,12,9,1,2011,6,9,1,0,0,49.0,49.0,98.0,2.0,37.833333333333336,56.68452380952381
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,2011-01-09 13:00:00,13,9,1,2011,6,9,1,0,0,83.0,49.0,102.0,1.0,37.208333333333336,57.16666666666666
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,2011-01-09 14:00:00,14,9,1,2011,6,9,1,0,0,75.0,83.0,95.0,8.0,36.083333333333336,57.60714285714285
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,2011-01-09 15:00:00,15,9,1,2011,6,9,1,0,0,72.0,75.0,74.0,20.0,35.125,57.98809523809524
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,2011-01-09 16:00:00,16,9,1,2011,6,9,1,0,1,82.0,72.0,76.0,53.0,35.458333333333336,58.35714285714285
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,2011-01-09 17:00:00,17,9,1,2011,6,9,1,0,1,92.0,82.0,69.0,70.0,36.125,58.58928571428572
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,2011-01-09 18:00:00,18,9,1,2011,6,9,1,0,1,62.0,92.0,55.0,93.0,35.833333333333336,58.54166666666666
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,2011-01-09 19:00:00,19,9,1,2011,6,9,1,0,1,48.0,62.0,30.0,75.0,35.541666666666664,58.273809523809526
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,2011-01-09 20:00:00,20,9,1,2011,6,9,1,0,0,41.0,48.0,28.0,59.0,36.0,58.07142857142857
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,2011-01-09 21:00:00,21,9,1,2011,6,9,1,0,0,38.0,41.0,37.0,74.0,36.41666666666666,57.94642857142857
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,2011-01-09 22:00:00,22,9,1,2011,6,9,1,0,0,20.0,38.0,34.0,76.0,35.708333333333336,57.625
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,2011-01-09 23:00:00,23,9,1,2011,6,9,1,0,0,15.0,20.0,22.0,65.0,34.916666666666664,57.26190476190476
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,2011-01-10 00:00:00,0,10,1,2011,0,10,0,1,0,6.0,15.0,25.0,53.0,34.25,56.910714285714285
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,2011-01-10 01:00:00,1,10,1,2011,0,10,0,1,0,5.0,6.0,12.0,30.0,33.416666666666664,56.625
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,2011-01-10 02:00:00,2,10,1,2011,0,10,0,1,0,1.0,5.0,11.0,22.0,32.958333333333336,56.45238095238095
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,2011-01-10 03:00:00,3,10,1,2011,0,10,0,1,0,3.0,1.0,4.0,31.0,32.625,56.33928571428572
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,2011-01-10 04:00:00,4,10,1,2011,0,10,0,1,0,1.0,3.0,1.0,9.0,32.5,56.160714285714285
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,2011-01-10 05:00:00,5,10,1,2011,0,10,0,1,0,3.0,1.0,1.0,8.0,32.583333333333336,56.125
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,2011-01-10 06:00:00,6,10,1,2011,0,10,0,1,0,3.0,3.0,1.0,5.0,32.666666666666664,56.095238095238095
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,2011-01-10 07:00:00,7,10,1,2011,0,10,0,1,1,31.0,3.0,6.0,2.0,33.916666666666664,56.25
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,2011-01-10 08:00:00,8,10,1,2011,0,10,0,1,1,77.0,31.0,10.0,1.0,36.875,56.69642857142857
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,2011-01-10 09:00:00,9,10,1,2011,0,10,0,1,1,188.0,77.0,19.0,3.0,44.29166666666666,57.80952380952381
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,2011-01-10 10:00:00,10,10,1,2011,0,10,0,1,0,94.0,188.0,49.0,30.0,47.41666666666666,58.35119047619048
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,2011-01-10 11:00:00,11,10,1,2011,0,10,0,1,0,31.0,94.0,49.0,64.0,46.66666666666666,58.35714285714285
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,2011-01-10 12:00:00,12,10,1,2011,0,10,0,1,0,30.0,31.0,83.0,154.0,45.875,58.15476190476191
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,2011-01-10 13:00:00,13,10,1,2011,0,10,0,1,0,52.0,30.0,75.0,88.0,44.583333333333336,57.54761904761905
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,2011-01-10 14:00:00,14,10,1,2011,0,10,0,1,0,54.0,52.0,72.0,44.0,43.708333333333336,57.345238095238095
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,2011-01-10 15:00:00,15,10,1,2011,0,10,0,1,0,47.0,54.0,82.0,51.0,42.66666666666666,57.36309523809524
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,2011-01-10 16:00:00,16,10,1,2011,0,10,0,1,1,45.0,47.0,92.0,61.0,41.125,57.32738095238095
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,2011-01-10 17:00:00,17,10,1,2011,0,10,0,1,1,74.0,45.0,62.0,61.0,40.375,57.40476190476191
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,2011-01-10 18:00:00,18,10,1,2011,0,10,0,1,1,178.0,74.0,48.0,77.0,45.208333333333336,58.10119047619048
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,2011-01-10 19:00:00,19,10,1,2011,0,10,0,1,1,155.0,178.0,41.0,72.0,49.66666666666666,58.56547619047619
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,2011-01-10 20:00:00,20,10,1,2011,0,10,0,1,0,95.0,155.0,38.0,76.0,51.91666666666666,58.70238095238095
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,2011-01-10 21:00:00,21,10,1,2011,0,10,0,1,0,74.0,95.0,20.0,157.0,53.41666666666666,58.69047619047619
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,2011-01-10 22:00:00,22,10,1,2011,0,10,0,1,0,38.0,74.0,15.0,157.0,54.16666666666666,57.98214285714285
233,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,2011-01-10 23:00:00,23,10,1,2011,0,10,0,1,0,24.0,38.0,6.0,110.0,54.54166666666666,57.19047619047619
234,2011-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,2011-01-11 00:00:00,0,11,1,2011,1,11,0,1,0,18.0,24.0,5.0,52.0,55.04166666666666,56.642857142857146
235,2011-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,2011-01-11 01:00:00,1,11,1,2011,1,11,0,1,0,12.0,18.0,1.0,52.0,55.333333333333336,56.40476190476191
236,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,2011-01-11 02:00:00,2,11,1,2011,1,11,0,1,0,3.0,12.0,3.0,20.0,55.41666666666666,56.11309523809524
237,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,2011-01-11 05:00:00,5,11,1,2011,1,11,0,1,0,3.0,3.0,1.0,12.0,55.41666666666666,56.01190476190476
238,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,2011-01-11 06:00:00,6,11,1,2011,1,11,0,1,0,6.0,3.0,3.0,5.0,55.625,55.97619047619048
239,2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,2011-01-11 07:00:00,7,11,1,2011,1,11,0,1,1,27.0,6.0,3.0,2.0,56.625,56.10714285714285
240,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,2011-01-11 08:00:00,8,11,1,2011,1,11,0,1,1,99.0,27.0,31.0,1.0,60.625,56.68452380952381
241,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,2011-01-11 09:00:00,9,11,1,2011,1,11,0,1,1,217.0,99.0,77.0,2.0,68.375,57.970238095238095
242,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,2011-01-11 10:00:00,10,11,1,2011,1,11,0,1,0,130.0,217.0,188.0,4.0,70.58333333333333,58.73214285714285
243,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,2011-01-11 11:00:00,11,11,1,2011,1,11,0,1,0,54.0,130.0,94.0,36.0,65.0,59.02976190476191
244,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,2011-01-11 12:00:00,12,11,1,2011,1,11,0,1,0,35.0,54.0,31.0,94.0,62.54166666666666,59.023809523809526
245,2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,2011-01-11 13:00:00,13,11,1,2011,1,11,0,1,0,57.0,35.0,30.0,179.0,63.625,58.80357142857143
246,2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,2011-01-11 14:00:00,14,11,1,2011,1,11,0,1,0,52.0,57.0,52.0,100.0,64.54166666666667,58.04761904761905
247,2011-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,2011-01-11 15:00:00,15,11,1,2011,1,11,0,1,0,63.0,52.0,54.0,42.0,65.0,57.82738095238095
248,2011-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,2011-01-11 16:00:00,16,11,1,2011,1,11,0,1,1,47.0,63.0,47.0,57.0,64.70833333333333,57.85714285714285
249,2011-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,2011-01-11 17:00:00,17,11,1,2011,1,11,0,1,1,76.0,47.0,45.0,78.0,65.91666666666667,57.970238095238095
250,2011-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,2011-01-11 18:00:00,18,11,1,2011,1,11,0,1,1,136.0,76.0,74.0,97.0,69.70833333333333,58.31547619047619
251,2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,2011-01-11 19:00:00,19,11,1,2011,1,11,0,1,1,95.0,136.0,178.0,63.0,70.58333333333333,58.30357142857143
252,2011-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,2011-01-11 20:00:00,20,11,1,2011,1,11,0,1,0,51.0,95.0,155.0,65.0,65.29166666666667,58.23214285714285
253,2011-01-11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,2011-01-11 21:00:00,21,11,1,2011,1,11,0,1,0,32.0,51.0,95.0,83.0,60.16666666666666,58.035714285714285
254,2011-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,2011-01-11 22:00:00,22,11,1,2011,1,11,0,1,0,20.0,32.0,74.0,212.0,57.04166666666666,57.660714285714285
255,2011-01-11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,2011-01-11 23:00:00,23,11,1,2011,1,11,0,1,0,29.0,20.0,38.0,182.0,55.16666666666666,56.57142857142857
256,2011-01-12,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,2011-01-12 00:00:00,0,12,1,2011,2,12,0,1,0,19.0,29.0,24.0,112.0,54.375,55.60119047619048
257,2011-01-12,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,2011-01-12 01:00:00,1,12,1,2011,2,12,0,1,0,7.0,19.0,18.0,54.0,53.66666666666666,54.97619047619048
258,2011-01-12,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,2011-01-12 02:00:00,2,12,1,2011,2,12,0,1,0,6.0,7.0,12.0,48.0,53.16666666666666,54.69047619047619
259,2011-01-12,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,2011-01-12 05:00:00,5,12,1,2011,2,12,0,1,0,1.0,6.0,3.0,35.0,52.708333333333336,54.410714285714285
260,2011-01-12,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,2011-01-12 06:00:00,6,12,1,2011,2,12,0,1,0,5.0,1.0,3.0,11.0,52.79166666666666,54.23214285714285
261,2011-01-12,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,2011-01-12 07:00:00,7,12,1,2011,2,12,0,1,1,16.0,5.0,6.0,6.0,53.333333333333336,54.26190476190476
262,2011-01-12,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,2011-01-12 08:00:00,8,12,1,2011,2,12,0,1,1,54.0,16.0,27.0,6.0,55.333333333333336,54.54761904761905
263,2011-01-12,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,2011-01-12 09:00:00,9,12,1,2011,2,12,0,1,1,128.0,54.0,99.0,2.0,59.54166666666666,55.273809523809526
264,2011-01-12,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,2011-01-12 10:00:00,10,12,1,2011,2,12,0,1,0,81.0,128.0,217.0,2.0,58.79166666666666,55.74404761904762
265,2011-01-12,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,2011-01-12 11:00:00,11,12,1,2011,2,12,0,1,0,39.0,81.0,130.0,3.0,51.375,55.96428571428572
266,2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,2011-01-12 12:00:00,12,12,1,2011,2,12,0,1,0,35.0,39.0,54.0,33.0,47.41666666666666,56.15476190476191
267,2011-01-12,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,2011-01-12 13:00:00,13,12,1,2011,2,12,0,1,0,55.0,35.0,35.0,88.0,47.458333333333336,56.285714285714285
268,2011-01-12,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,2011-01-12 14:00:00,14,12,1,2011,2,12,0,1,0,49.0,55.0,57.0,195.0,48.04166666666666,56.05357142857143
269,2011-01-12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,2011-01-12 15:00:00,15,12,1,2011,2,12,0,1,0,44.0,49.0,52.0,115.0,47.5,55.15476190476191
270,2011-01-12,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,2011-01-12 16:00:00,16,12,1,2011,2,12,0,1,1,49.0,44.0,63.0,57.0,47.375,54.76190476190476
271,2011-01-12,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,2011-01-12 17:00:00,17,12,1,2011,2,12,0,1,1,68.0,49.0,47.0,46.0,47.583333333333336,54.82738095238095
272,2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,2011-01-12 18:00:00,18,12,1,2011,2,12,0,1,1,139.0,68.0,76.0,79.0,51.41666666666666,55.38095238095238
273,2011-01-12,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,2011-01-12 19:00:00,19,12,1,2011,2,12,0,1,1,137.0,139.0,136.0,71.0,53.958333333333336,55.72619047619048
274,2011-01-12,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,2011-01-12 20:00:00,20,12,1,2011,2,12,0,1,0,83.0,137.0,95.0,62.0,51.75,55.79761904761905
275,2011-01-12,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,2011-01-12 21:00:00,21,12,1,2011,2,12,0,1,0,56.0,83.0,51.0,62.0,50.125,55.76190476190476
276,2011-01-12,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33,2011-01-12 22:00:00,22,12,1,2011,2,12,0,1,0,57.0,56.0,32.0,89.0,50.375,55.73214285714285
277,2011-01-12,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20,2011-01-12 23:00:00,23,12,1,2011,2,12,0,1,0,33.0,57.0,20.0,190.0,50.41666666666666,55.398809523809526
278,2011-01-13,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7,2011-01-13 00:00:00,0,13,1,2011,3,13,0,1,0,20.0,33.0,29.0,169.0,50.41666666666666,54.38690476190476
279,2011-01-13,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2,2011-01-13 01:00:00,1,13,1,2011,3,13,0,1,0,7.0,20.0,19.0,132.0,49.5,53.42261904761905
280,2011-01-13,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2,2011-01-13 02:00:00,2,13,1,2011,3,13,0,1,0,2.0,7.0,7.0,89.0,48.79166666666666,52.648809523809526
281,2011-01-13,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3,2011-01-13 03:00:00,3,13,1,2011,3,13,0,1,0,2.0,2.0,6.0,43.0,48.583333333333336,52.13095238095238
282,2011-01-13,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4,2011-01-13 04:00:00,4,13,1,2011,3,13,0,1,0,3.0,2.0,1.0,42.0,48.458333333333336,51.892857142857146
283,2011-01-13,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3,2011-01-13 05:00:00,5,13,1,2011,3,13,0,1,0,4.0,3.0,5.0,19.0,48.583333333333336,51.66666666666666
284,2011-01-13,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28,2011-01-13 06:00:00,6,13,1,2011,3,13,0,1,0,3.0,4.0,16.0,11.0,48.5,51.57142857142857
285,2011-01-13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72,2011-01-13 07:00:00,7,13,1,2011,3,13,0,1,1,28.0,3.0,54.0,4.0,49.0,51.67261904761905
286,2011-01-13,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202,2011-01-13 08:00:00,8,13,1,2011,3,13,0,1,1,72.0,28.0,128.0,2.0,49.75,52.07738095238095
287,2011-01-13,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139,2011-01-13 09:00:00,9,13,1,2011,3,13,0,1,1,202.0,72.0,81.0,1.0,52.833333333333336,53.267857142857146
288,2011-01-13,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38,2011-01-13 10:00:00,10,13,1,2011,3,13,0,1,0,139.0,202.0,39.0,4.0,55.25,54.08928571428572
289,2011-01-13,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37,2011-01-13 11:00:00,11,13,1,2011,3,13,0,1,0,38.0,139.0,35.0,36.0,55.208333333333336,54.29166666666666
290,2011-01-13,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52,2011-01-13 12:00:00,12,13,1,2011,3,13,0,1,0,37.0,38.0,55.0,95.0,55.29166666666666,54.29761904761905
291,2011-01-13,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83,2011-01-13 13:00:00,13,13,1,2011,3,13,0,1,0,52.0,37.0,49.0,219.0,55.16666666666666,54.04166666666666
